bet,trials,avg_net_per_wager,house_edge_pct
Lay6,100000,0.00103667,-0.10366667
Lay4,100000,0.00051500,-0.05150000
Lay10,100000,0.00008000,-0.00800000
Odds8,100000,0.00003200,-0.00320000
Lay9,100000,-0.00040000,0.04000000
Lay8,100000,-0.00101667,0.10166667
Odds9,100000,-0.00105000,0.10500000
Odds5,100000,-0.00177500,0.17750000
Lay5,100000,-0.00351667,0.35166667
Odds4,100000,-0.00364000,0.36400000
Odds6,100000,-0.00403800,0.40380000
Odds10,100000,-0.00598000,0.59800000
Place6,100000,-0.00807833,0.80783333
Come,100000,-0.00882000,0.88200000
DontCome,100000,-0.01068000,1.06800000
Place8,100000,-0.01249833,1.24983333
DontPass,100000,-0.01362000,1.36200000
Field,100000,-0.02133000,2.13300000
PassLine,100000,-0.02260000,2.26000000
Buy8,100000,-0.02373200,2.37320000
Buy5,100000,-0.02522275,2.52227500
Buy9,100000,-0.02696875,2.69687500
Buy6,100000,-0.02698480,2.69848000
Buy4,100000,-0.03090700,3.09070000
Buy10,100000,-0.03276300,3.27630000
Place5,100000,-0.04129600,4.12960000
Place9,100000,-0.04472800,4.47280000
Place4,100000,-0.06564000,6.56400000
Place10,100000,-0.06597600,6.59760000
AnyCraps,100000,-0.09248000,9.24800000
Big8,100000,-0.09462000,9.46200000
Big6,100000,-0.09476000,9.47600000
Hardway8,100000,-0.10090000,10.09000000
Yo,100000,-0.10496000,10.49600000
Hardway6,100000,-0.10860000,10.86000000
Hardway4,100000,-0.11032000,11.03200000
Hardway10,100000,-0.11208000,11.20800000
AceDeuce,100000,-0.12064000,12.06400000
Horn,100000,-0.52839000,13.20975000
Any7,100000,-0.16290000,16.29000000
